year,title,runner-up,third,fourth
1930,Uruguay,Argentina,USA,Yugoslavia
1934,Italy,Czechoslovakia,Germany,Austria
1938,Italy,Hungría,Brazil,Sweden
1950,Uruguay,Brazil,Sweden,Spain
1954,Germany,Hungary,Austria,Uruguay
1958,Brazil,Sweden,France,Germany
1962,Brazil,Czechoslovakia,Chile,Yugoslavia
1966,England,Germany,Portugal,Russia
1970,Brazil,Italy,Germany,Uruguay
1974,Germany,Netherlands,Poland,Brazil
1978,Argentina,Netherlands,Brazil,Italy
1982,Italy,Germany,Poland,France
1986,Argentina,Germany,France,Belgium
1990,Germany,Argentina,Italy,England
1994,Brazil,Italy,Sweden,Bulgaria
1998,France,Brazil,Croatia,Netherlands
2002,Brazil,Germany,Turkey,Korea Republic
2006,Italy,France,Germany,Portugal
2010,Spain,Netherlands,Germany,Uruguay
2014,Germany,Argentina,Netherlands,Brazil
